row_index,split,id_student
0,development,11391
1,development,28400
2,development,31604
3,development,32885
4,development,38053
5,development,45462
6,development,45642
7,development,52130
8,development,53025
9,development,57506
10,development,58873
11,final_holdout,59185
12,development,62155
13,development,63400
14,development,65002
15,development,70464
16,development,71361
17,development,74372
18,development,75091
19,development,77367
20,development,91265
21,development,94961
22,development,98094
23,development,100893
24,development,101781
25,development,102806
26,development,102952
27,development,104476
28,development,106247
29,development,106577
30,final_holdout,110175
31,final_holdout,111717
32,development,113295
33,final_holdout,114017
34,final_holdout,114999
35,development,116541
36,development,116692
37,final_holdout,118983
38,final_holdout,123044
39,development,127582
40,development,129955
41,development,132976
42,development,134143
43,final_holdout,135335
44,development,135400
45,development,137873
46,development,141355
47,development,141377
48,final_holdout,142326
49,final_holdout,144801
50,development,145130
51,development,146188
52,final_holdout,147756
53,final_holdout,147793
54,development,148993
55,development,151358
56,development,155550
57,development,155854
58,development,155984
59,development,157568
60,development,159954
61,development,164259
62,development,167906
63,final_holdout,168936
64,development,172112
65,final_holdout,172797
66,development,174782
67,development,175392
68,development,175932
69,development,175991
70,development,180753
71,development,181316
72,development,183096
73,development,183947
74,development,184271
75,development,185439
76,final_holdout,186149
77,development,187100
78,development,188278
79,development,189879
80,development,192183
81,development,195262
82,final_holdout,200860
83,development,202635
84,development,205350
85,final_holdout,205719
86,development,227499
87,development,227517
88,final_holdout,228082
89,development,228222
90,development,229179
91,final_holdout,229361
92,development,231554
93,development,235507
94,development,236284
95,development,238007
96,development,240712
97,development,240884
98,development,241649
99,final_holdout,241729
100,development,242793
101,development,246834
102,development,248270
103,final_holdout,255548
104,development,256815
105,development,258392
106,development,258894
107,final_holdout,260355
108,development,262011
109,final_holdout,262934
110,development,268073
111,final_holdout,268733
112,final_holdout,271251
113,development,277880
114,final_holdout,279572
115,development,281022
116,development,281250
117,final_holdout,281589
118,development,282821
119,development,286488
120,development,287548
121,development,290201
122,final_holdout,290757
123,development,291334
124,development,293699
125,development,294570
126,development,294594
127,development,295741
128,development,296332
129,development,298696
130,development,300398
131,development,302302
132,final_holdout,305152
133,development,305386
134,development,306107
135,development,306466
136,final_holdout,306897
137,development,307061
138,development,307866
139,development,311917
140,development,312537
141,development,312782
142,development,318933
143,development,319047
144,development,321942
145,development,324002
146,development,324084
147,development,324282
148,development,331358
149,development,332789
150,development,333059
151,development,333323
152,development,334259
153,final_holdout,334333
154,final_holdout,335764
155,final_holdout,336207
156,final_holdout,339972
157,development,342007
158,development,342514
159,development,342972
160,development,343446
161,final_holdout,344282
162,development,345068
163,development,345357
164,development,346025
165,development,346843
166,development,350188
167,development,357668
168,final_holdout,364177
169,development,365244
170,development,365642
171,development,366483
172,development,368194
173,development,368824
174,development,368963
175,development,376439
176,development,376581
177,development,380953
178,final_holdout,383254
179,final_holdout,386924
180,development,386952
181,development,388722
182,development,388885
183,development,390890
184,development,392756
185,final_holdout,392931
186,development,393207
187,development,396872
188,development,398552
189,development,401869
190,final_holdout,402470
191,development,404804
192,development,405088
193,development,414117
194,development,415969
195,development,420087
196,development,429958
197,development,441018
198,development,441888
199,development,442442
200,development,444677
201,final_holdout,470588
202,development,489455
203,development,494424
204,development,495284
205,final_holdout,498857
206,development,508818
207,development,512460
208,development,544103
209,development,550383
210,final_holdout,564450
211,final_holdout,568601
212,development,572652
213,final_holdout,580389
214,development,581129
215,development,588775
216,development,591774
217,development,603861
218,development,606143
219,final_holdout,704156
220,development,705379
221,development,749412
